Temp. (C),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K)
480,,0.018451,2941.5,3236.7,6.2252,,0.015990,2917.9,3205.7,6.1384
520,,0.020157,3033.0,3355.6,6.3790,,0.017589,3014.1,3330.7,6.3002
560,,0.021739,3119.3,3467.2,6.5163,,0.019054,3103.5,3446.5,6.4427
600,,0.023238,3202.6,3574.4,6.6421,,0.020431,3189.1,3556.8,6.5720
640,,0.024675,3284.2,3679.0,6.7591,,0.021744,3272.4,3663.8,6.6918
700,,0.026749,3404.9,3832.9,6.9224,,0.023629,3395.0,3820.4,6.8579
740,,0.028091,3485.0,3934.5,7.0247,,0.024844,3476.2,3923.4,6.9616
,,,,,,,,,,
Temp. (C),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K)
,,"p = 200.0 bar = 20.0 MPa, Tsat = 365.75°C",,,,,p = 240.0 bar = 24.0 MPa,,,
Sat.,,0.005865,2295.0,2412.3,4.9314,,,,,
400,,0.009950,2617.9,2816.9,5.5525,,0.006732,2475.9,2637.5,5.2368
440,,0.012247,2775.5,3020.4,5.8469,,0.009301,2700.5,2923.7,5.6513
480,,0.014012,2893.2,3173.5,6.0559,,0.011022,2840.6,3105.1,5.8991
520,,0.015530,2994.6,3305.2,6.2263,,0.012432,2953.7,3252.1,6.0894
560,,0.016904,3087.4,3425.4,6.3743,,0.013675,3054.0,3382.2,6.2495
600,,0.018185,3175.3,3539.0,6.5075,,0.014814,3147.2,3502.7,6.3908
640,,0.019399,3260.4,3648.4,6.6300,,0.015882,3236.1,3617.3,6.5191
700,,0.021133,3385.1,3807.8,6.7990,,0.017391,3365.0,3782.4,6.6942
740,,0.022247,3467.2,3912.2,6.9042,,0.018353,3449.3,3889.7,6.8023
800,,0.023869,3590.1,4067.5,7.0531,,0.019746,3574.6,4048.5,6.9546
,,,,,,,,,,
Temp. (C),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K)
,,p = 280.0 bar = 28.0 MPa,,,,,p = 320.0 bar = 32.0 MPa,,,
400,,0.003854,2226.7,2334.6,4.7555,,0.002367,1981.2,2057.0,4.3258
440,,0.007123,2612.3,2811.7,5.4484,,0.005432,2507.3,2681.1,5.2303
480,,0.008862,2783.0,3031.2,5.7484,,0.007228,2720.2,2951.5,5.6000
520,,0.010210,2910.5,3196.4,5.9624,,0.008541,2864.9,3138.1,5.8418
560,,0.011366,3019.3,3337.6,6.1361,,0.009635,2983.3,3291.6,6.0307
600,,0.012407,3118.2,3465.6,6.2862,,0.010603,3088.4,3427.7,6.1903
640,,0.013371,3211.2,3585.6,6.4207,,0.011491,3185.9,3553.6,6.3313
700,,0.014721,3344.6,3756.7,6.6022,,0.012720,3323.9,3731.0,6.5195
740,,0.015574,3431.1,3867.1,6.7134,,0.013492,3412.7,3844.5,6.6338
800,,0.016804,3559.0,4029.5,6.8691,,0.014599,3543.3,4010.5,6.7930
900,,0.018759,3770.8,4296.1,7.1066,,0.016349,3758.3,4281.5,7.0345
